"Event";"Round";"Heat";"Lap";"Bib";"Lane";"idStatus";"Time";"Result";"Rank";
   0;   0;   1;9999;"     101";  1; 1;   119562;"      11.96  ";1
   0;   0;   1;9999;"     102";  2; 1;   145082;"      14.51  ";6
   0;   0;   1;9999;"     103";  3; 1;   123742;"      12.38  ";2
   0;   0;   1;9999;"     104";  4; 1;   141802;"      14.19  ";4
   0;   0;   1;9999;"     105";  5; 1;   138002;"      13.81  ";3
   0;   0;   1;9999;"     106";  6; 1;   142862;"      14.29  ";5
   0;   0;   1;9999;"     107";  7; 1;   142862;"      14.29  ";5
   0;   0;   1;9999;"     108";  8; 1;   142862;"      14.29  ";5
   0;   0;   2;9999;"     101";  1; 1;   115522;"      11.56  ";3
   0;   0;   2;9999;"     102";  2; 1;   116527;"      11.66  ";5
   0;   0;   2;9999;"     103";  3; 1;    97962;"       9.80  ";1
   0;   0;   2;9999;"     104";  4; 1;   104462;"      10.45  ";2
   0;   0;   2;9999;"     105";  5; 1;   115877;"      11.59  ";4
   0;   0;   2;9999;"     106";  6; 1;   127352;"      12.74  ";6
   0;   0;   2;9999;"     107";  7; 1;   115522;"      11.56  ";3
   0;   0;   2;9999;"     108";  8; 1;   115522;"      11.56  ";3
